"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"Col1a1.Ddr1"	"Col1a1"	"Ddr1"	0	0	0	0	0	0	0	0	86	0	0	99	98	192
"Tgfb3.Pdgfra"	"Tgfb3"	"Pdgfra"	0	0	0	0	0	0	0	0	87	0	0	200	68	259
"Tgfb3.Acvrl1"	"Tgfb3"	"Acvrl1"	0	0	0	0	0	0	0	0	167	0	559	270	221	763
"Tgfb3.Acvr1b"	"Tgfb3"	"Acvr1b"	0	0	0	0	0	0	0	0	405	0	519	287	221	819
"Tgfb3.Itgb7"	"Tgfb3"	"Itgb7"	0	0	0	0	0	0	0	0	0	0	0	140	73	168
"Tgfb3.Smo"	"Tgfb3"	"Smo"	0	0	0	0	0	0	0	0	64	0	0	128	136	233
"Calr.Acvrl1"	"Calr"	"Acvrl1"	0	0	0	0	0	0	0	0	0	0	0	107	105	166
"Calr.Itga3"	"Calr"	"Itga3"	0	0	0	0	0	0	0	0	381	0	0	0	0	381
"Calr.Ncstn"	"Calr"	"Ncstn"	0	0	0	0	0	0	0	565	0	0	0	74	0	579
"Calr.Crhr2"	"Calr"	"Crhr2"	0	0	0	0	0	0	0	0	0	0	0	0	152	151
"Il4.Il7r"	"Il4"	"Il7r"	0	0	0	0	0	0	0	0	0	800	0	0	708	939
"Tgfb1.Il7r"	"Tgfb1"	"Il7r"	0	0	0	0	0	0	0	0	0	0	0	152	95	199
"Efnb3.Ngfr"	"Efnb3"	"Ngfr"	0	0	0	0	0	0	0	0	0	0	0	66	707	715
"Efnb3.Pdgfra"	"Efnb3"	"Pdgfra"	0	0	0	0	0	0	0	0	154	0	0	74	69	206
"Efnb3.Plxnb3"	"Efnb3"	"Plxnb3"	0	0	0	0	0	0	166	0	0	0	0	0	107	223
"Efnb3.Axl"	"Efnb3"	"Axl"	0	0	0	0	0	0	0	0	154	0	0	0	68	177
"Col5a3.Itgb7"	"Col5a3"	"Itgb7"	0	0	0	0	0	0	0	0	82	800	0	0	174	835
"Col5a3.Itga3"	"Col5a3"	"Itga3"	0	0	0	0	0	0	0	0	0	800	0	90	0	810
"Angptl2.Itga3"	"Angptl2"	"Itga3"	0	0	0	0	0	0	0	0	0	0	0	128	100	181
"Angptl2.Axl"	"Angptl2"	"Axl"	0	0	0	0	0	126	0	0	73	0	0	0	102	208
"Sema4f.Plxna3"	"Sema4f"	"Plxna3"	0	0	0	0	0	0	0	0	167	0	0	153	357	506
"Efnb2.Plxna3"	"Efnb2"	"Plxna3"	0	0	0	0	0	0	166	0	0	0	0	0	107	223
"Efna2.Plxna3"	"Efna2"	"Plxna3"	0	0	0	0	0	0	166	0	0	0	0	0	108	224
"Efnb3.Plxna3"	"Efnb3"	"Plxna3"	0	0	0	0	0	0	166	0	0	0	0	0	107	223
"Sst.Bdkrb2"	"Sst"	"Bdkrb2"	0	0	0	0	0	0	0	0	0	900	0	51	0	901
"Sst.Crhr2"	"Sst"	"Crhr2"	0	0	0	0	0	0	0	0	0	0	0	97	136	186
"Ins2.Aqp1"	"Ins2"	"Aqp1"	0	0	0	0	0	0	0	0	0	0	0	0	180	179
"Cdh1.Aqp1"	"Cdh1"	"Aqp1"	0	0	0	0	0	0	0	0	0	0	0	136	100	189
"Ace.Aqp1"	"Ace"	"Aqp1"	0	0	0	0	0	0	0	0	0	0	0	74	143	172
"Vwf.Aqp1"	"Vwf"	"Aqp1"	0	0	0	0	0	0	120	0	0	0	0	64	64	161
"Pgf.Ngfr"	"Pgf"	"Ngfr"	0	0	0	0	0	0	0	0	0	800	0	0	0	800
"Pgf.Pdgfra"	"Pgf"	"Pdgfra"	0	0	0	0	0	0	0	0	251	800	434	0	380	940
"Ccl2.Cd44"	"Ccl2"	"Cd44"	0	0	0	0	0	235	81	0	0	0	0	62	107	332
"Cdh1.Cd44"	"Cdh1"	"Cd44"	0	0	0	0	0	0	0	0	0	0	0	52	741	744
"Fasl.Cd44"	"Fasl"	"Cd44"	0	0	0	0	0	0	0	0	0	0	0	140	107	199
"Ccl3.Cd44"	"Ccl3"	"Cd44"	0	0	0	0	0	157	0	0	0	0	0	47	64	182
"Icam2.Cd44"	"Icam2"	"Cd44"	0	0	0	0	0	0	0	0	0	0	0	279	106	327
"Col6a1.Cd44"	"Col6a1"	"Cd44"	0	0	0	0	0	0	0	0	69	800	0	0	0	805
"Col6a2.Cd44"	"Col6a2"	"Cd44"	0	0	0	0	0	0	0	0	0	800	0	0	0	800
"Col1a1.Cd44"	"Col1a1"	"Cd44"	0	0	0	0	0	0	0	0	165	800	0	0	66	830
"Ncan.Cd44"	"Ncan"	"Cd44"	0	0	0	0	0	0	0	0	0	0	0	0	220	220
"Tgfb1.Cd44"	"Tgfb1"	"Cd44"	0	0	0	0	0	0	0	0	0	0	0	70	137	163
"Lamb1.Cd44"	"Lamb1"	"Cd44"	0	0	0	0	0	0	0	0	0	800	0	0	0	800
"Col5a3.Cd44"	"Col5a3"	"Cd44"	0	0	0	0	0	0	0	0	85	800	0	0	0	809
"App.Cntn1"	"App"	"Cntn1"	0	0	0	0	0	133	0	0	84	0	0	0	653	700
"App.Ngfr"	"App"	"Ngfr"	0	0	0	0	0	0	0	0	381	0	559	210	0	765
"App.Pdgfra"	"App"	"Pdgfra"	0	0	0	0	0	0	0	0	77	0	0	0	148	179
"App.Bdkrb2"	"App"	"Bdkrb2"	0	0	0	0	0	0	0	0	0	900	0	53	0	901
"App.Grin2d"	"App"	"Grin2d"	0	0	0	0	0	0	0	0	0	0	0	86	191	228
